DATE;OPEN
2008-01-13;352.75
2008-01-20;342.0
2008-01-27;313.1
2008-02-03;304.6
2008-02-10;293.0
2008-02-17;309.6
2008-02-24;315.91
2008-03-02;313.11
2008-03-09;301.02
2008-03-16;304.77
2008-03-23;290.1
2008-03-30;298.0
2008-04-06;298.2
2008-04-13;308.3
2008-04-20;311.79
2008-04-27;314.35
2008-05-04;312.15
2008-05-11;329.35
2008-05-18;354.0
2008-05-25;358.66
2008-06-01;359.88
2008-06-08;346.11
2008-06-15;335.55
2008-06-22;350.35
2008-06-29;338.3
2008-07-06;323.01
2008-07-13;313.8
2008-07-20;307.82
2008-07-27;287.67
2008-08-03;276.0
2008-08-10;255.15
2008-08-17;264.88
2008-08-24;252.9
2008-08-31;239.6
2008-09-07;235.95
2008-09-14;203.13
2008-09-21;185.0
2008-09-28;212.1
2008-10-05;186.9
2008-10-12;127.75
2008-10-19;112.2
2008-10-26;105.0
2008-11-02;115.0
2008-11-09;130.5
2008-11-16;118.67
2008-11-23;96.0
2008-11-30;116.01
2008-12-07;105.0
2008-12-14;112.05
2008-12-21;112.9
2008-12-28;107.6
2009-01-04;108.45
2009-01-11;108.45
2009-01-18;110.0
2009-01-25;103.2
2009-02-01;112.97
2009-02-08;115.25
2009-02-15;122.56
2009-02-22;111.96
2009-03-01;114.75
2009-03-08;110.7
2009-03-15;125.4
2009-03-22;123.79
2009-03-29;136.49
2009-04-05;135.0
2009-04-12;143.03
2009-04-19;144.11
2009-04-26;143.01
2009-05-03;150.89
2009-05-10;172.98
2009-05-17;168.03
2009-05-24;172.34
2009-05-31;174.5
2009-06-07;181.01
2009-06-14;183.5
2009-06-21;163.99
2009-06-28;152.2
2009-07-05;157.26
2009-07-12;139.99
2009-07-19;146.5
2009-07-26;160.08
2009-08-02;164.61
2009-08-09;168.21
2009-08-16;165.99
2009-08-23;155.4
2009-08-30;165.89
2009-09-06;160.3
2009-09-13;172.15
2009-09-20;179.14
2009-09-27;178.89
2009-10-04;175.19
2009-10-11;176.0
2009-10-18;200.08
2009-10-25;195.1
2009-11-01;185.49
2009-11-08;178.99
2009-11-15;177.25
2009-11-22;182.0
2009-11-29;170.0
2009-12-06;167.53
2009-12-13;166.62
2009-12-20;177.7
2009-12-27;183.22
2010-01-03;182.78
2010-01-10;182.78
2010-01-17;190.0
2010-01-24;186.97
2010-01-31;180.52
2010-02-07;184.75
2010-02-14;173.53
2010-02-21;164.8
2010-02-28;166.71
2010-03-07;169.04
2010-03-14;173.01
2010-03-21;171.01
2010-03-28;165.0
2010-04-04;172.46
2010-04-11;175.98
2010-04-18;182.8
2010-04-25;172.25
2010-05-02;175.1
2010-05-09;162.98
2010-05-16;161.27
2010-05-23;156.88
2010-05-30;157.99
2010-06-06;166.1
2010-06-13;158.79
2010-06-20;157.19
2010-06-27;158.01
2010-07-04;146.98
2010-07-11;153.03
2010-07-18;157.57
2010-07-25;157.69
2010-08-01;164.5
2010-08-08;167.61
2010-08-15;163.41
2010-08-22;161.19
2010-08-29;157.91
2010-09-05;161.79
2010-09-12;164.11
2010-09-19;164.6
2010-09-26;161.09
2010-10-03;159.47
2010-10-10;162.28
2010-10-17;163.4
2010-10-24;163.39
2010-10-31;167.71
2010-11-07;170.26
2010-11-14;174.02
2010-11-21;170.69
2010-11-28;171.83
2010-12-05;184.05
2010-12-12;192.83
2010-12-19;194.1
2010-12-26;196.39
2011-01-02;192.52
2011-01-09;192.52
2011-01-16;196.89
2011-01-23;195.99
2011-01-30;197.88
2011-02-06;208.3
2011-02-13;211.54
2011-02-20;200.02
2011-02-27;199.8
2011-03-06;212.62
2011-03-13;213.08
2011-03-20;221.65
2011-03-27;224.87
2011-04-03;229.1
2011-04-10;239.09
2011-04-17;234.64
2011-04-24;233.11
2011-05-01;232.73
2011-05-08;213.61
2011-05-15;206.32
2011-05-22;202.0
2011-05-29;196.69
2011-06-05;201.4
2011-06-12;207.66
2011-06-19;203.57
2011-06-26;200.0
2011-07-03;202.22
2011-07-10;205.9
2011-07-17;200.61
2011-07-24;201.36
2011-07-31;200.51
2011-08-07;194.55
2011-08-14;166.39
2011-08-21;171.6
2011-08-28;171.8
2011-09-04;175.12
2011-09-11;174.11
2011-09-18;167.73
2011-09-25;161.5
2011-10-02;157.97
2011-10-09;152.23
2011-10-16;159.51
2011-10-23;163.3
2011-10-30;181.03
2011-11-06;180.35
2011-11-13;184.55
2011-11-20;182.7
2011-11-27;167.0
2011-12-04;176.11
2011-12-11;175.99
2011-12-18;172.09
2011-12-25;171.52
2012-01-01;170.9
2012-01-08;177.0
2012-01-15;178.3
2012-01-22;183.85
2012-01-29;184.5
2012-02-05;186.3
2012-02-12;189.2
2012-02-19;191.9
2012-02-26;189.3
2012-03-04;194.3
2012-03-11;192.25
2012-03-18;199.3
2012-03-25;185.05
2012-04-01;179.77
2012-04-08;182.54
2012-04-15;176.6
2012-04-22;170.88
2012-04-29;167.23
2012-05-06;168.45
2012-05-13;161.49
2012-05-20;146.07
2012-05-27;141.5
2012-06-03;147.01
2012-06-10;151.39
2012-06-17;152.22
2012-06-24;156.91
2012-07-01;153.0
2012-07-08;156.98
2012-07-15;153.42
2012-07-22;155.86
2012-07-29;149.26
2012-08-05;149.58
2012-08-12;154.42
2012-08-19;156.31
2012-08-26;156.26
2012-09-02;155.6
2012-09-09;158.43
2012-09-16;164.1
2012-09-23;165.54
2012-09-30;158.96
2012-10-07;157.5
2012-10-14;154.8
2012-10-21;154.85
2012-10-28;152.78
2012-11-04;144.87
2012-11-11;142.71
2012-11-18;141.21
2012-11-25;142.11
2012-12-02;137.87
2012-12-09;139.89
2012-12-16;139.98
2012-12-23;141.0
2012-12-30;144.8
2013-01-06;144.8
2013-01-13;147.7
2013-01-20;148.4
2013-01-27;146.25
2013-02-03;143.64
2013-02-10;140.23
2013-02-17;134.2
2013-02-24;136.32
2013-03-03;136.74
2013-03-10;134.97
2013-03-17;140.5
2013-03-24;142.05
2013-03-31;135.42
2013-04-07;131.01
2013-04-14;129.99
2013-04-21;121.6
2013-04-28;122.8
2013-05-05;123.12
2013-05-12;130.55
2013-05-19;123.24
2013-05-26;125.78
2013-06-02;120.48
2013-06-09;117.95
2013-06-16;111.25
2013-06-23;109.06
2013-06-30;107.84
2013-07-07;109.57
2013-07-14;114.67
2013-07-21;130.0
2013-07-28;128.71
2013-08-04;129.93
2013-08-11;125.56
2013-08-18;131.38
2013-08-25;132.49
2013-09-01;131.8
2013-09-08;132.4
2013-09-15;144.6
2013-09-22;147.53
2013-09-29;146.1
2013-10-06;143.6
2013-10-13;151.72
2013-10-20;156.24
2013-10-27;150.73
2013-11-03;150.4
2013-11-10;149.43
2013-11-17;147.0
2013-11-24;149.3
2013-12-01;142.97
2013-12-08;137.02
2013-12-15;135.75
2013-12-22;140.45
2013-12-29;141.0
2014-01-05;138.8
2014-01-12;137.58
2014-01-19;137.9
2014-01-26;144.32
2014-02-02;147.32
2014-02-09;144.26
2014-02-16;146.87
2014-02-23;148.96
2014-03-02;143.75
2014-03-09;123.88
2014-03-16;119.85
2014-03-23;124.4
2014-03-30;131.4
2014-04-06;134.75
2014-04-13;132.96
2014-04-20;132.5
2014-04-27;130.49
2014-05-04;127.9
2014-05-11;134.2
2014-05-18;139.98
2014-05-25;144.5
2014-06-01;144.44
2014-06-08;143.26
2014-06-15;144.75
2014-06-22;145.05
2014-06-29;148.01
2014-07-06;152.02
2014-07-13;149.1
2014-07-20;140.35
2014-07-27;136.5
2014-08-03;131.5
2014-08-10;126.8
2014-08-17;131.2
2014-08-24;136.52
2014-08-31;135.06
2014-09-07;137.27
2014-09-14;138.39
2014-09-21;137.92
2014-09-28;136.5
2014-10-05;136.24
2014-10-12;136.2
2014-10-19;133.5
2014-10-26;133.46
2014-11-02;138.12
2014-11-09;143.29
2014-11-16;143.8
2014-11-23;144.18
2014-11-30;144.01
2014-12-07;144.5
2014-12-14;135.15
2014-12-21;135.2
2014-12-28;135.1
2015-01-04;134.47
2015-01-11;140.06
2015-01-18;145.99
2015-01-25;149.59
2015-02-01;146.52
2015-02-08;144.72
2015-02-15;152.5
2015-02-22;161.51
2015-03-01;151.15
2015-03-08;155.3
2015-03-15;147.0
2015-03-22;140.1
2015-03-29;134.31
2015-04-05;143.32
2015-04-12;146.96
2015-04-19;150.6
2015-04-26;150.0
2015-05-03;152.58
2015-05-10;152.58
2015-05-17;152.47
2015-05-24;147.3
2015-05-31;146.3
2015-06-07;140.3
2015-06-14;146.0
2015-06-21;147.3
2015-06-28;146.17
2015-07-05;145.51
2015-07-12;143.52
2015-07-19;143.69
2015-07-26;140.6
2015-08-02;138.5
2015-08-09;141.23
2015-08-16;143.3
2015-08-23;141.53
2015-08-30;141.85
2015-09-06;144.9
2015-09-13;143.26
2015-09-20;143.34
2015-09-27;134.57
2015-10-04;132.77
2015-10-11;139.31
2015-10-18;143.72
2015-10-25;139.7
2015-11-01;137.37
2015-11-08;140.91
2015-11-15;136.44
2015-11-22;146.2
2015-11-29;144.29
2015-12-06;140.4
2015-12-13;135.24
2015-12-20;134.65
2015-12-27;135.8
2016-01-03;137.48
2016-01-10;136.35
2016-01-17;130.5
2016-01-24;126.01
2016-01-31;133.89
2016-02-07;134.52
2016-02-14;132.07
2016-02-21;136.62
2016-02-28;138.58
2016-03-06;142.6
2016-03-13;147.01
2016-03-20;145.61
2016-03-27;146.27
2016-04-03;147.02
2016-04-10;144.87
2016-04-17;150.69
2016-04-24;162.14
2016-05-01;163.88
2016-05-08;161.33
2016-05-15;159.4
2016-05-22;151.4
2016-05-29;147.29
2016-06-05;144.86
2016-06-12;144.7
2016-06-19;141.0
2016-06-26;141.14
2016-07-03;139.85
2016-07-10;140.33
2016-07-17;143.53
2016-07-24;139.88
2016-07-31;139.52
2016-08-07;136.55
2016-08-14;137.36
2016-08-21;138.03
2016-08-28;136.51
2016-09-04;135.29
2016-09-11;140.88
2016-09-18;137.7
2016-09-25;136.27
2016-10-02;135.0
2016-10-09;135.81
2016-10-16;137.57
2016-10-23;135.69
2016-10-30;135.11
2016-11-06;140.72
2016-11-13;146.45
2016-11-20;147.51
2016-11-27;150.24
2016-12-04;151.14
2016-12-11;153.5
2016-12-18;158.48
2016-12-25;153.21
2017-01-01;150.72
2017-01-08;154.12
2017-01-15;157.48
2017-01-22;153.3
2017-01-29;150.28
2017-02-05;149.82
2017-02-12;145.34
2017-02-19;139.93
2017-02-26;138.59
2017-03-05;133.45
2017-03-12;132.05
2017-03-19;128.42
2017-03-26;130.77
2017-04-02;129.0
2017-04-09;129.7
2017-04-16;125.65
2017-04-23;122.15
2017-04-30;133.37
2017-05-07;135.89
2017-05-14;133.7
2017-05-21;130.97
2017-05-28;122.32
2017-06-04;120.29
2017-06-11;119.32
2017-06-18;115.81
2017-06-25;117.78
2017-07-02;118.95
2017-07-09;122.19
2017-07-16;125.01
2017-07-23;120.21
2017-07-30;118.35
2017-08-06;119.13
2017-08-13;118.71
2017-08-20;116.72
2017-08-27;116.1
2017-09-03;118.02
2017-09-10;117.61
2017-09-17;122.89
2017-09-24;122.36
2017-10-01;122.5
2017-10-08;122.29
2017-10-15;126.0
2017-10-22;125.81
2017-10-29;124.99
2017-11-05;125.88
2017-11-12;131.05
2017-11-19;131.79
2017-11-26;131.56
2017-12-03;133.0
2017-12-10;133.42
2017-12-17;135.42
2017-12-24;133.0
2017-12-31;130.88
2018-01-07;132.5
2018-01-14;143.23
2018-01-21;148.79
2018-01-28;149.4
2018-02-04;145.68
2018-02-11;140.47
2018-02-18;137.85
2018-02-25;143.43
2018-03-04;141.0
2018-03-11;138.8
2018-03-18;138.66
2018-03-25;140.25
2018-04-01;142.01
2018-04-08;140.32
2018-04-15;145.71
2018-04-22;143.3
2018-04-29;144.3
2018-05-06;144.32
2018-05-13;145.98
2018-05-20;148.6
2018-05-27;146.0
2018-06-03;144.58
2018-06-10;145.96
2018-06-17;140.88
2018-06-24;136.01
2018-07-01;138.98
2018-07-08;144.1
2018-07-15;145.32
2018-07-22;138.39
2018-07-29;138.4
2018-08-05;140.2
2018-08-12;143.4
2018-08-19;141.02
2018-08-26;141.7
2018-09-02;145.7
2018-09-09;147.16
2018-09-16;153.33
2018-09-23;154.64
2018-09-30;161.26
2018-10-07;167.8
2018-10-14;163.2
2018-10-21;163.8
2018-10-28;155.19
2018-11-04;154.11
2018-11-11;156.58
2018-11-18;153.36
2018-11-25;153.44
2018-12-02;164.4
2018-12-09;161.29
2018-12-16;155.96
2018-12-23;151.41
2018-12-30;151.0
2019-01-06;154.13
2019-01-13;159.74
2019-01-20;158.17
2019-01-27;159.71
2019-02-03;162.47
2019-02-10;162.88
2019-02-17;157.35
2019-02-24;154.67
2019-03-03;156.37
2019-03-10;154.0
2019-03-17;152.98
2019-03-24;155.02
2019-03-31;150.17
2019-04-07;156.8
2019-04-14;158.87
2019-04-21;161.94
2019-04-28;160.19
2019-05-05;164.03
2019-05-12;164.49
2019-05-19;194.61
2019-05-26;208.92
2019-06-02;207.9
2019-06-09;233.13
2019-06-16;233.74
2019-06-23;232.5
2019-06-30;233.01
2019-07-07;251.6
2019-07-14;248.65
2019-07-21;219.49
2019-07-28;217.0
2019-08-04;234.12
2019-08-11;230.56
2019-08-18;228.35
2019-08-25;231.72
2019-09-01;228.92
2019-09-08;234.64
2019-09-15;233.03
2019-09-22;233.0
2019-09-29;230.51
2019-10-06;224.3
2019-10-13;225.01
2019-10-20;227.66
2019-10-27;236.46
2019-11-03;260.11
2019-11-10;266.02
2019-11-17;252.55
2019-11-24;252.0
2019-12-01;253.89
2019-12-08;248.5
2019-12-15;248.9
2019-12-22;252.0
2019-12-29;254.33
2020-01-05;257.09
2020-01-12;255.66
2020-01-19;252.5
2020-01-26;246.9
2020-02-02;232.53
2020-02-09;232.38
2020-02-16;233.79
2020-02-23;233.2
2020-03-01;220.99
2020-03-08;199.9
2020-03-15;164.08
2020-03-22;168.96
2020-03-29;181.2
2020-04-05;183.8
2020-04-12;191.86
2020-04-19;187.07
2020-04-26;187.94
2020-05-03;195.44
2020-05-10;187.52
2020-05-17;185.62
2020-05-24;194.0
2020-05-31;196.25
2020-06-07;202.56
2020-06-14;200.19
2020-06-21;194.17
2020-06-28;192.7
2020-07-05;195.31
2020-07-12;199.86
2020-07-19;184.53
2020-07-26;185.52
2020-08-02;184.1
2020-08-09;187.27
2020-08-16;192.63
2020-08-23;189.2
2020-08-30;185.37
2020-09-06;181.28
2020-09-13;177.05
2020-09-20;181.72
2020-09-27;177.24
2020-10-04;172.67
